,Date,Adj Close,Volume,MACD_HIST,MACD,MACD_SIG,EMA,STOCH_D,STOCH_K,MOM,RSI,CCI
0,2000-01-03,84.892333984375,657536,3.6496752721607244,11.439566518769169,7.789891246608445,80.02186787662752,22.171825930455956,21.502604463320804,-20.411989999272425,39.32451577067907,-27.982697548578077
1,2000-01-04,91.57882690429688,7191808,2.8489262702631812,11.35104908443742,8.502122814174239,79.24539817349581,25.99045985268563,27.77694980268245,-19.755478357485273,42.093708004558714,-9.487801222722961
2,2000-01-05,84.25263214111328,21069440,2.421627996929171,11.529157810335704,9.107529813406533,80.4149475933061,24.419481310044294,23.97888966412963,-21.03718290860092,43.49031480155674,76.99810693536223
3,2000-01-06,77.51239013671875,10495616,1.6459933766865085,11.165021534264667,9.519028157578159,79.44619654881626,27.54142312627549,30.868429912014392,-20.54372821692616,43.490314801556735,102.04216633134388
4,2000-01-07,71.3114013671875,971392,0.5391445163939839,10.192958803070638,9.653814286676655,78.80390963129139,34.56481205817755,48.84711659838863,-20.96517855151479,47.74999808276166,134.45783991625487
5,2000-01-10,74.74397277832031,30230400,-0.21248398410461178,9.388209306545889,9.6006932906505,79.81516931288854,47.303339013408895,62.19447052982364,-20.16779388788247,50.39577261655823,169.21650430558793
6,2000-01-11,68.7646713256836,15658368,-0.9902762744037794,8.362847947645776,9.353124222049555,78.74746597141863,64.23013485581988,81.64881743924737,-21.245563763275634,45.96967436319169,152.01043031410708
7,2000-01-12,71.05085754394531,25993472,-1.8702582213662229,7.015301445341777,8.885559666708,78.87489883236682,74.50085294185679,79.65927085649933,-20.540432368107222,48.41871965084744,88.74616293536573
8,2000-01-13,65.68873596191406,20038400,-2.2169497786494805,6.1143724433961495,8.33132222204563,78.7695877573274,82.08831729336265,84.9568635843412,-20.27791592818911,47.803452783112355,80.26161195447835
9,2000-01-14,66.15489959716797,16040064,-1.8799861180115176,5.981339574531233,7.861325692542751,80.21640394868506,81.90021080967767,81.08449798819242,-20.769970909153113,48.82142020860936,85.381906979429
10,2000-01-17,64.49510955810547,18092928,-1.0747639342539754,6.5178707747252815,7.592634708979257,78.89949018858907,82.79400641794929,82.34065768131421,-20.39722442626953,54.618418863415954,74.38266596693927
11,2000-01-18,64.84688568115234,20290944,0.039981261414940406,7.6426112857479325,7.602630024332992,79.04746428110238,82.98782857827071,85.53833006530546,-26.73194122314453,60.88639693781247,113.01515168182053
12,2000-01-19,70.03108215332031,19994752,1.3490618440893316,9.288957329444656,7.939895485355325,79.59033395747797,81.2874201241202,75.9832726257409,-14.221549987792969,64.4351183515228,176.5382169347021
13,2000-01-20,69.2552719116211,19778560,2.7705841475725244,11.40312566982098,8.632541522248456,80.32103965282862,76.03616566100698,66.58689429197456,-8.257118225097656,61.613022133048,220.73107662084107
14,2000-01-21,72.91251373291016,20786048,3.050389763917682,12.445528727145557,9.395138963227875,78.72399391000509,64.21117041454997,50.06334432593442,1.6011123657226562,65.87689191613421,174.67853250106967
15,2000-01-24,75.40409851074219,25256320,2.673025645646547,12.736421020286059,10.063395374639512,78.60481239117094,55.853784653014664,50.911115341134995,0.660125732421875,70.99670499155431,150.15428200391787
16,2000-01-25,76.65695190429688,20469632,2.081014217632344,12.664663146679942,10.583648929047598,79.03046028452152,54.76857729009695,63.33127220322141,7.892280578613281,75.30604008198355,160.85500805575703
17,2000-01-26,76.65695190429688,0,0.8274563286102872,11.617969339810458,10.79051301120017,80.49780697315875,65.40942230395444,81.98587936750691,5.6060943603515625,65.0989942183475,186.33439793280252
18,2000-01-27,80.30850982666016,12953792,-0.7377087437129113,9.868377081559032,10.606085825271943,80.33707261959498,79.23997063078546,92.40276032162807,14.619773864746094,65.58922900627671,119.31182610333104
19,2000-01-28,82.70773315429688,17281536,-1.7218530502792397,8.453769512422895,10.175622562702134,79.76308235753574,85.87224109973447,83.22808361006838,16.552833557128906,67.2830441628593,89.4813141241833
20,2000-01-31,78.47160339355469,7598272,-2.9430508505848856,6.496808999471028,9.439859850055914,80.42560318159737,85.451371408108,80.72327029262756,13.976493835449219,61.82559695415218,98.88419205409487
21,2000-02-01,80.5981216430664,7055424,-3.66209382161799,4.862242573033427,8.524336394651417,78.58586029169173,83.1120962115332,85.38493473190368,15.751235961914062,64.60678905410717,68.28781633643399
22,2000-02-02,80.03739166259766,9491520,-3.4740362210628772,4.1817911183228205,7.655827339385698,78.61144065370875,87.60548391092597,96.7082467082467,10.006309509277344,59.5236450203492,65.18294125191869
23,2000-02-03,80.85234832763672,6032064,-2.6631036113957203,4.326947825141048,6.990051436536768,80.45456865230709,89.98551437188672,87.86336167550981,11.597076416015625,53.016385275872565,44.74062502250253
24,2000-02-04,85.8089370727539,20176704,-2.390187800888709,4.002316685425882,6.392504486314591,80.31878136570967,86.78695411898421,75.78925397319615,12.89642333984375,53.74277521158694,3.5154835162506597
25,2000-02-07,92.32040405273438,16988608,-1.7378080000487541,4.220244486253648,5.958052486302402,79.52323041726787,76.17290715161813,64.86610580614847,16.916305541992188,50.56404635839515,-41.60287636265453
